username,status,solutions,irm,policies,error
odl_user_2227162@otuwacne104100.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227163@otuwacne104101.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227164@otuwacne104102.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227165@otuwacne104103.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227166@otuwacne104104.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227167@otuwacne104105.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227169@otuwacne104107.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227168@otuwacne104106.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227171@otuwacne104109.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227172@otuwacne104110.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227170@otuwacne104108.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227173@otuwacne104111.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227175@otuwacne104113.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227174@otuwacne104112.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227177@otuwacne104115.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227176@otuwacne104114.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227180@otuwacne104118.onmicrosoft.com,OK,YES,YES,ERROR: You either don't have the right permissions or Microsoft 365 subscription to acc,
odl_user_2227179@otuwacne104117.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227178@otuwacne104116.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227183@otuwacne104121.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227182@otuwacne104120.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227186@otuwacne104124.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227185@otuwacne104123.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227184@otuwacne104122.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227187@otuwacne104125.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227188@otuwacne104126.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227190@otuwacne104128.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227192@otuwacne104130.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227191@otuwacne104129.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227194@otuwacne104132.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227193@otuwacne104131.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227198@otuwacne104136.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227196@otuwacne104134.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227195@otuwacne104133.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227199@otuwacne104137.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227197@otuwacne104135.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227200@otuwacne104138.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227201@otuwacne104139.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227227@otuwacne103892.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227202@otuwacne104140.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227228@otuwacne103897.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227230@otuwacne103902.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227229@otuwacne103900.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227231@otuwacne103906.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227233@otuwacne103937.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227232@otuwacne103930.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227234@otuwacne103946.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227235@otuwacne103947.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227237@otuwacne103956.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227238@otuwacne103957.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227236@otuwacne103950.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227239@otuwacne103958.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227242@otuwacne103974.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227240@otuwacne103960.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227241@otuwacne103971.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227243@otuwacne103977.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227245@otuwacne103999.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227244@otuwacne103989.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227253@otuwacne104119.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227321@otuwamsb105211.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227246@otuwacne104009.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227322@otuwamsb105212.onmicrosoft.com,OK,YES,YES,ERROR: You either don't have the right permissions or Microsoft 365 subscription to acc,
odl_user_2227323@otuwamsb105213.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227325@otuwamsb105215.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227324@otuwamsb105214.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227326@otuwamsb105216.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227330@otuwamsb105219.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227327@otuwamsb105217.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227332@otuwamsb105221.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227331@otuwamsb105220.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227328@otuwamsb105218.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227336@otuwamsb105223.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227335@otuwamsb105222.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227337@otuwamsb105224.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227339@otuwamsb105225.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227342@otuwamsb105226.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227346@otuwamsb105230.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227345@otuwamsb105229.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227343@otuwamsb105228.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227414@otuwacne104045.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227418@otuwacne104046.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227495@otuwacne104054.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227421@otuwacne104047.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227423@otuwacne104049.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227496@otuwacne104055.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227498@otuwacne104056.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227501@otuwacne104058.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227500@otuwacne104057.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227502@otuwacne104060.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227506@otuwacne104062.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227503@otuwacne104061.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227507@otuwacne104063.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227508@otuwacne104064.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227511@otuwacne104042.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227510@otuwacne104041.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227512@otuwacne104043.onmicrosoft.com,OK,YES,YES,ERROR: You either don't have the right permissions or Microsoft 365 subscription to acc,
odl_user_2227513@otuwacne104044.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227821@otuwacne104048.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227813@otuwacne104053.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227812@otuwacne104051.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227825@otuwacne104065.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227842@otuwacne103923.onmicrosoft.com,OK,YES,YES,YES,
odl_user_2227827@otuwacne104050.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227843@otuwacne103926.onmicrosoft.com,OK,YES,YES,NO,
odl_user_2227844@otuwacne103982.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227845@otuwacne103991.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227848@otuwacne104092.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227846@otuwacne104127.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227856@otuwacne104099.onmicrosoft.com,OK,YES,NO,NO,
odl_user_2227855@otuwacne104080.onmicrosoft.com,OK,YES,YES,NO,
