"Domain","Username","TenantId","SubStatus","SubAction","LicenseAssigned","Error"
"otuwacne104044.onmicrosoft.com","odl_user_2227513@otuwacne104044.onmicrosoft.com","6c0a9d46-6173-4874-8714-50a1e1b94bf9","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104045.onmicrosoft.com","odl_user_2227414@otuwacne104045.onmicrosoft.com","19b58800-fcad-477c-9237-99743458566a","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104046.onmicrosoft.com","odl_user_2227418@otuwacne104046.onmicrosoft.com","902bb837-e7fc-4a20-91f9-0081760ee9dd","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104047.onmicrosoft.com","odl_user_2227421@otuwacne104047.onmicrosoft.com","77734408-ac11-4178-b5ec-73630f2227b4","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104048.onmicrosoft.com","odl_user_2227821@otuwacne104048.onmicrosoft.com","b2e3fd79-e86e-4740-b21f-cb615998630f","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne104049.onmicrosoft.com","odl_user_2227423@otuwacne104049.onmicrosoft.com","216fec35-ebc6-473a-aed4-bdf4c31facbf","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne104050.onmicrosoft.com","odl_user_2227827@otuwacne104050.onmicrosoft.com","fa81e0b3-2438-4b7f-a25f-f5e9493c57a8","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104051.onmicrosoft.com","odl_user_2227812@otuwacne104051.onmicrosoft.com","bd1d8d04-fd95-4557-9f08-b06407244d6b","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104052.onmicrosoft.com","odl_user_2227561@otuwacne104052.onmicrosoft.com","0cce66b2-b2ae-44eb-95ad-f4f880d9c94a","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104053.onmicrosoft.com","odl_user_2227813@otuwacne104053.onmicrosoft.com","98f9d77d-1215-4b90-9bbe-d392c883319e","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104054.onmicrosoft.com","odl_user_2227495@otuwacne104054.onmicrosoft.com","a985cbb7-88f9-4098-817b-17a0801f2665","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104055.onmicrosoft.com","odl_user_2227496@otuwacne104055.onmicrosoft.com","b71f388f-ad82-4a51-8320-9c46b50b3e0a","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104056.onmicrosoft.com","odl_user_2227498@otuwacne104056.onmicrosoft.com","8ac6dc4a-d3d5-4056-a4a5-0a34ca2a815f","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne104057.onmicrosoft.com","odl_user_2227500@otuwacne104057.onmicrosoft.com","291cd7a8-1ce2-416e-805c-737118443110","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne104058.onmicrosoft.com","odl_user_2227501@otuwacne104058.onmicrosoft.com","13abbd0e-d7f3-46b2-8914-d99c3e4f0cff","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104060.onmicrosoft.com","odl_user_2227502@otuwacne104060.onmicrosoft.com","71264e9d-8293-4fd8-b009-bb3b3af5bc37","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104061.onmicrosoft.com","odl_user_2227503@otuwacne104061.onmicrosoft.com","381c927d-1cc2-4121-9356-a8353138f1fe","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104062.onmicrosoft.com","odl_user_2227506@otuwacne104062.onmicrosoft.com","3c4ae842-3499-4b7a-8b1b-aa96a9247b84","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104063.onmicrosoft.com","odl_user_2227507@otuwacne104063.onmicrosoft.com","88f61366-25a3-4be2-8bc3-587b96d8155a","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne104064.onmicrosoft.com","odl_user_2227508@otuwacne104064.onmicrosoft.com","3c536b65-eb06-4ed7-8faf-1c605ab94428","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne104065.onmicrosoft.com","odl_user_2227825@otuwacne104065.onmicrosoft.com","a8b6ff49-e6cc-4ef1-8fda-115562db64c2","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwamsb105220.onmicrosoft.com","odl_user_2227331@otuwamsb105220.onmicrosoft.com","otuwamsb105220.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105226.onmicrosoft.com","odl_user_2227342@otuwamsb105226.onmicrosoft.com","otuwamsb105226.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105214.onmicrosoft.com","odl_user_2227324@otuwamsb105214.onmicrosoft.com","otuwamsb105214.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105213.onmicrosoft.com","odl_user_2227323@otuwamsb105213.onmicrosoft.com","otuwamsb105213.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105215.onmicrosoft.com","odl_user_2227325@otuwamsb105215.onmicrosoft.com","otuwamsb105215.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105211.onmicrosoft.com","odl_user_2227321@otuwamsb105211.onmicrosoft.com","otuwamsb105211.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105212.onmicrosoft.com","odl_user_2227322@otuwamsb105212.onmicrosoft.com","otuwamsb105212.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105221.onmicrosoft.com","odl_user_2227332@otuwamsb105221.onmicrosoft.com","otuwamsb105221.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105229.onmicrosoft.com","odl_user_2227345@otuwamsb105229.onmicrosoft.com","otuwamsb105229.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105228.onmicrosoft.com","odl_user_2227343@otuwamsb105228.onmicrosoft.com","otuwamsb105228.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105222.onmicrosoft.com","odl_user_2227335@otuwamsb105222.onmicrosoft.com","otuwamsb105222.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105219.onmicrosoft.com","odl_user_2227330@otuwamsb105219.onmicrosoft.com","otuwamsb105219.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105216.onmicrosoft.com","odl_user_2227326@otuwamsb105216.onmicrosoft.com","otuwamsb105216.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105217.onmicrosoft.com","odl_user_2227327@otuwamsb105217.onmicrosoft.com","otuwamsb105217.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105224.onmicrosoft.com","odl_user_2227337@otuwamsb105224.onmicrosoft.com","otuwamsb105224.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwamsb105230.onmicrosoft.com","odl_user_2227346@otuwamsb105230.onmicrosoft.com","otuwamsb105230.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105223.onmicrosoft.com","odl_user_2227336@otuwamsb105223.onmicrosoft.com","otuwamsb105223.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105218.onmicrosoft.com","odl_user_2227328@otuwamsb105218.onmicrosoft.com","otuwamsb105218.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwamsb105225.onmicrosoft.com","odl_user_2227339@otuwamsb105225.onmicrosoft.com","otuwamsb105225.onmicrosoft.com","Missing/Deleted","Purchased (Monthly)","Already assigned",""
