"Domain","Username","TenantId","SubStatus","SubAction","LicenseAssigned","Error"
"otuwacne103972.onmicrosoft.com","odl_user_2227054@otuwacne103972.onmicrosoft.com","c00a3fea-3972-4c63-a250-22a96d8af04d","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103973.onmicrosoft.com","odl_user_2227055@otuwacne103973.onmicrosoft.com","8397a0cc-e938-47e8-8eb6-10d147fa7c9a","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne103974.onmicrosoft.com","odl_user_2227242@otuwacne103974.onmicrosoft.com","b784a8bb-38ad-4d23-91dc-6fa18f32aaf1","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103975.onmicrosoft.com","odl_user_2227056@otuwacne103975.onmicrosoft.com","bebe3aa5-8e16-452a-83bb-be5947d6f98c","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103976.onmicrosoft.com","odl_user_2227057@otuwacne103976.onmicrosoft.com","62ee6aee-b2fe-49e5-bf86-99d42ea82bcb","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103977.onmicrosoft.com","odl_user_2227243@otuwacne103977.onmicrosoft.com","3a6c6a6f-0ec1-41d3-ae2f-6c8619ccca0f","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103978.onmicrosoft.com","odl_user_2227059@otuwacne103978.onmicrosoft.com","996de039-3941-4d35-8d36-c1019a0c004e","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103979.onmicrosoft.com","odl_user_2227060@otuwacne103979.onmicrosoft.com","5d6cad3a-51ac-4226-9127-86b1f2fd974f","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103980.onmicrosoft.com","odl_user_2227061@otuwacne103980.onmicrosoft.com","d0a39780-539a-4a6e-b2de-b736b0620bbf","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103981.onmicrosoft.com","odl_user_2227063@otuwacne103981.onmicrosoft.com","ee874972-3931-442f-94f1-194077ab5509","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103982.onmicrosoft.com","odl_user_2227844@otuwacne103982.onmicrosoft.com","7545508a-37a3-4323-a237-a1163e932970","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103983.onmicrosoft.com","odl_user_2227065@otuwacne103983.onmicrosoft.com","6c747e2a-2cfa-4353-83c2-2f96e8658e7f","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103984.onmicrosoft.com","odl_user_2227066@otuwacne103984.onmicrosoft.com","720321f9-abf7-4f35-b95f-865ea1129e66","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103985.onmicrosoft.com","odl_user_2227067@otuwacne103985.onmicrosoft.com","1c7c5c7f-8a07-43d2-a34b-018e9dccf1b5","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne103986.onmicrosoft.com","odl_user_2227068@otuwacne103986.onmicrosoft.com","2f2346f5-7774-44af-bff8-48424e5098a4","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103987.onmicrosoft.com","odl_user_2227070@otuwacne103987.onmicrosoft.com","d10bb18b-1445-4d3c-9013-b6816b01a14d","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103988.onmicrosoft.com","odl_user_2227071@otuwacne103988.onmicrosoft.com","6ad8c3d0-d2a5-4679-886a-62520920bc6b","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103989.onmicrosoft.com","odl_user_2227244@otuwacne103989.onmicrosoft.com","7b89fd47-443d-426c-a9c3-ae01ee45bd46","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103990.onmicrosoft.com","odl_user_2227072@otuwacne103990.onmicrosoft.com","0fdff097-6981-49aa-a15d-b300e7a85553","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103991.onmicrosoft.com","odl_user_2227845@otuwacne103991.onmicrosoft.com","13f4c7f8-6a94-417d-b9f1-5279cc5477a6","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103992.onmicrosoft.com","odl_user_2227074@otuwacne103992.onmicrosoft.com","d180178c-b0a7-4b4f-a760-c17d5432a050","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103993.onmicrosoft.com","odl_user_2227075@otuwacne103993.onmicrosoft.com","515758fa-6df2-4d1c-ad7f-c6e92e29cd5a","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103994.onmicrosoft.com","odl_user_2227076@otuwacne103994.onmicrosoft.com","9497f345-2dc9-4aca-9581-03f973c0729b","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103995.onmicrosoft.com","odl_user_2227077@otuwacne103995.onmicrosoft.com","4b2446e0-e17b-4e53-92dc-27c96dbf052b","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne103996.onmicrosoft.com","odl_user_2227078@otuwacne103996.onmicrosoft.com","ecc2d30e-95b3-41ef-b4b1-2f9f541a34ca","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne103997.onmicrosoft.com","odl_user_2227079@otuwacne103997.onmicrosoft.com","a72d2241-6280-47be-a855-ea92aaf08ed6","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne103998.onmicrosoft.com","odl_user_2227080@otuwacne103998.onmicrosoft.com","3ed144d1-0d90-40cb-9bb4-dbad7a874e74","Missing/Deleted","Purchased (Monthly)","Already assigned",""
